Calc_ColorRamp,Name,Principal nonfuel mineral commodities,State Notes,2023 state rank,Value..millions.
>1.5 to 3,Alabama,"Cement, lime, sand and gravel (construction), sand and gravel (industrial), stone (crushed).",,18,2010
>3 to 10,Alaska,"Gold, lead, sand and gravel (construction), silver, zinc.",,7,4100
>3 to 10,Arizona,"Cement, copper, molybdenum mineral concentrates, sand and gravel (construction), stone (crushed).",,2,9500
>0.5 to 1.5,Arkansas,"Bromine, cement, sand and gravel (construction), sand and gravel (industrial), stone (crushed).",,30,1180
>3 to 10,California,"Boron minerals, cement, rare earths, sand and gravel (construction), stone (crushed).","California, Florida, and Georgia also produce significant quantities of titanium mineral concentrates and zirconium mineral concentrates. Breakdown by State is not available to avoid disclosure of company proprietary data.",5,5080
>1.5 to 3,Colorado,"Cement, gold, molybdenum mineral concentrates, sand and gravel (construction), stone (crushed).",,15,2220
0 to 0.5,Connecticut,"Sand and gravel (construction), stone (crushed), stone (dimension).",,43,264
0 to 0.5,Delaware,"Magnesium compounds, sand and gravel (construction), stone (crushed).","Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",50,17
>1.5 to 3,Florida,"Cement, clay (attapulgite and kaolin), phosphate rock, sand and gravel (construction), stone (crushed).","Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed."" California, Florida, and Georgia also produce significant quantities of titanium mineral concentrates and zirconium mineral concentrates. Breakdown by State is not available to avoid disclosure of company proprietary data.",6,2900
>1.5 to 3,Georgia,"Cement, clay (common clay, kaolin, montmorillonite), sand and gravel (construction), sand and gravel (industrial), stone (crushed).","California, Florida, and Georgia also produce significant quantities of titanium mineral concentrates and zirconium mineral concentrates. Breakdown by State is not available to avoid disclosure of company proprietary data.",12,2620
0 to 0.5,Hawaii,"Sand and gravel (construction), stone (crushed).",,46,154
0 to 0.5,Idaho,"Lead, phosphate rock, sand and gravel (construction), silver, stone (crushed).","Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",32,482
>1.5 to 3,Illinois,"Cement (portland), magnesium compounds, sand and gravel (construction), sand and gravel (industrial), stone (crushed).",,20,1770
>0.5 to 1.5,Indiana,"Cement, lime, sand and gravel (construction), stone (crushed), stone (dimension).",,25,1440
>0.5 to 1.5,Iowa,"Cement (portland), lime, sand and gravel (construction), sand and gravel (industrial), stone (crushed).",,33,879
>0.5 to 1.5,Kansas,"Cement, helium, salt, sand and gravel (construction), stone (crushed).","Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",26,915
>0.5 to 1.5,Kentucky,"Cement, clay (common clay), lime, sand and gravel (construction), stone (crushed).","Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",27,919
>0.5 to 1.5,Louisiana,"Clay (common clay), lime, salt, sand and gravel (construction), sand and gravel (industrial), stone (crushed).","Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",31,1070
0 to 0.5,Maine,"Cement, peat, sand and gravel (construction), stone (crushed), stone (dimension).","Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",47,116
0 to 0.5,Maryland,"Cement, sand and gravel (construction), stone (crushed), stone (dimension).","Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",35,431
0 to 0.5,Massachusetts,"Clay (common clay), lime, sand and gravel (construction), stone (crushed), stone (dimension).","Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",41,329
>3 to 10,Michigan,"Cement, iron ore, nickel sulfide concentrates, sand and gravel (construction), stone (crushed).",,8,4060
>3 to 10,Minnesota,"Iron ore, lime, sand and gravel (construction), sand and gravel (industrial), stone (crushed).","Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",4,6820
0 to 0.5,Mississippi,"Clay (ball clay, bentonite, common clay, montmorillonite), sand and gravel (construction), sand and gravel (industrial), stone (crushed).",,42,338
>3 to 10,Missouri,"Cement, lead, lime, sand and gravel (industrial), stone (crushed).",,10,3160
>0.5 to 1.5,Montana,"Copper, molybdenum mineral concentrates, palladium, platinum, sand and gravel (construction).",,28,1290
0 to 0.5,Nebraska,"Cement (portland), lime, sand and gravel (construction), sand and gravel (industrial), stone (crushed).","Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",40,260
>3 to 10,Nevada,"Copper, gold, lime, sand and gravel (construction), stone (crushed).",,3,8880
0 to 0.5,New Hampshire,"Sand and gravel (construction), stone (crushed), stone (dimension).","Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed.""",44,203
>0.5 to 1.5,New Jersey,"Sand and gravel (construction), sand and gravel (industrial), stone (crushed).",,38,515
