Leading producing country ,Critical mineral ,Production in leading country,World production total,Percent,World prod notes,Percentage of World Total
Australia,Aluminum (bauxite),"98,000,000","400,000,000",25,Excludes U.S. production.,25
China,Antimony,"40,000","83,000",48,,48
Peru,Arsenic,"27,000","60,000",45,Arsenic trioxide.,45
India,Barite,"2,700,000","8,500,000",32,Excludes U.S. production.,32
United States,Beryllium,190,330,58,,58
China,Bismuth (refined),"16,000","20,000",80,,80
South Africa,Chromium,"18,000,000","41,000,000",44,,44
Congo (Kinshasa),Cobalt,"170,000","230,000",74,,74
China,Fluorspar,"5,700,000","8,800,000",65,,65
China,Gallium,600,610,98,,98
China,Germanium (refined),NA,NA,NA,,
China,Graphite (natural),"1,230,000","1,600,000",77,,77
China,Indium (refined),650,990,66,,66
Australia,Lithium,"86,000","180,000",48,Excludes U.S. production.,48
China,Magnesium (refined),"830,000","940,000",88,Excludes U.S. production.,88
South Africa,Manganese,"7,200,000","20,000,000",36,,36
Indonesia,Nickel,"1,800,000","3,600,000",50,,50
Brazil,Niobium,"75,000","83,000",90,,90
Russia,Palladium,92,210,44,,44
South Africa,Platinum,120,180,67,,67
China,Rare earths (compounds and metals),"240,000","350,000",69,,69
China,Scandium,NA,NA,NA,,
Congo (Kinshasa),Tantalum,980,"2,400",41,,41
China,Tellurium (refined),430,640,67,Excludes U.S. production.,67
China,Tin,"68,000","290,000",23,,23
China,Titanium (metal; refined),"220,000","330,000",67,Excludes U.S. production.,67
China,Tungsten,"63,000","78,000",81,,81
China,Vanadium,"68,000","100,000",68,,68
China,Yttrium,NA,NA,NA,,
NA,Zinc (refined),NA,NA,NA,,
Australia,Zirconium (ores and concentrates),"500,000","1,600,000",31,,31
