Entity,Code,Year,share of global production|Bauxite|Mine|tonnes
Albania,ALB,1987,0.017469432
Albania,ALB,1988,0.038674537
Albania,ALB,1989,0.034313593
Albania,ALB,1990,0.020786725
Albania,ALB,1991,0.0072072074
Albania,ALB,1992,0.0038095238
Albania,ALB,1994,0.00018867925
Albania,ALB,1995,0.0013821429
Albania,ALB,1996,0.0028888888
Albania,ALB,1997,0.00365
Albania,ALB,1998,0.0033560975
Albania,ALB,1999,0.0035844962
Australia,AUS,1970,16.013842
Australia,AUS,1971,20.504026
Australia,AUS,1972,22.244993
Australia,AUS,1973,24.994318
Australia,AUS,1974,25.11809
Australia,AUS,1975,28.078876
Australia,AUS,1976,31.11628
Australia,AUS,1977,31.851038
Australia,AUS,1978,29.990755
Australia,AUS,1979,32.261322
Australia,AUS,1980,30.469702
Australia,AUS,1981,29.825783
Australia,AUS,1982,29.791983
Australia,AUS,1983,30.968603
Australia,AUS,1984,36.166183
Australia,AUS,1985,37.81342
Australia,AUS,1986,36.716297
Australia,AUS,1987,37.228954
Australia,AUS,1988,37.15811
Australia,AUS,1989,37.459225
Australia,AUS,1990,36.629204
Australia,AUS,1991,36.48919
Australia,AUS,1992,37.853333
Australia,AUS,1993,37.563637
Australia,AUS,1994,39.77264
Australia,AUS,1995,38.08482
Australia,AUS,1996,36.805984
Australia,AUS,1997,36.4459
Australia,AUS,1998,36.303253
Australia,AUS,1999,37.531784
Australia,AUS,2000,39.560295
Australia,AUS,2001,39.269344
Australia,AUS,2002,37.59375
Australia,AUS,2003,36.341175
Australia,AUS,2004,34.507927
Australia,AUS,2005,33.684643
Australia,AUS,2006,32.010605
Australia,AUS,2007,28.234497
Australia,AUS,2008,28.58821
Australia,AUS,2009,31.659643
Australia,AUS,2010,28.696217
Australia,AUS,2011,27.650156
Australia,AUS,2012,30.15069
Australia,AUS,2013,27.40518
Australia,AUS,2014,30.47713
Australia,AUS,2015,27.520157
Australia,AUS,2016,29.2018
Australia,AUS,2017,29.03266
Australia,AUS,2018,28.137123
Australia,AUS,2019,27.686317
Australia,AUS,2020,26.598465
Australia,AUS,2021,26.822916
Australia,AUS,2022,25.5
Australia,AUS,2023,24.5
Bosnia and Herzegovina,BIH,1992,0.1904762
Bosnia and Herzegovina,BIH,1993,0.09090909
Bosnia and Herzegovina,BIH,1994,0.070754714
Bosnia and Herzegovina,BIH,1995,0.06696428
Bosnia and Herzegovina,BIH,2000,0.18727942
Bosnia and Herzegovina,BIH,2001,0.06569343
Bosnia and Herzegovina,BIH,2002,0.049513888
Bosnia and Herzegovina,BIH,2003,0.3745098
Bosnia and Herzegovina,BIH,2004,0.55908537
Bosnia and Herzegovina,BIH,2005,0.57955056
Bosnia and Herzegovina,BIH,2006,0.4425114
Bosnia and Herzegovina,BIH,2007,0.3922774
Bosnia and Herzegovina,BIH,2008,0.45461294
Bosnia and Herzegovina,BIH,2009,0.265933
Bosnia and Herzegovina,BIH,2010,0.34640545
Bosnia and Herzegovina,BIH,2011,0.27862677
Bosnia and Herzegovina,BIH,2012,0.31633043
Bosnia and Herzegovina,BIH,2013,0.2219983
Bosnia and Herzegovina,BIH,2014,0.23457946
Bosnia and Herzegovina,BIH,2015,0.2678262
Bosnia and Herzegovina,BIH,2016,0.2582549
Bosnia and Herzegovina,BIH,2017,0.24038441
Bosnia and Herzegovina,BIH,2018,0.22294545
Bosnia and Herzegovina,BIH,2019,0.26890284
Bosnia and Herzegovina,BIH,2020,0.15850332
Bosnia and Herzegovina,BIH,2021,0.1758513
Bosnia and Herzegovina,BIH,2022,0.1749815
Brazil,BRA,1970,0.88235295
Brazil,BRA,1971,0.91143316
Brazil,BRA,1972,1.1787366
Brazil,BRA,1973,1.2059659
Brazil,BRA,1974,1.0778894
Brazil,BRA,1975,1.2954545
Brazil,BRA,1976,1.2894057
Brazil,BRA,1977,1.6507937
Brazil,BRA,1978,1.7297543
Brazil,BRA,1979,2.5325005
Brazil,BRA,1980,5.1926627
Brazil,BRA,1981,4.7462425
Brazil,BRA,1982,4.375697
Brazil,BRA,1983,5.4399505
Brazil,BRA,1984,6.7690105
Brazil,BRA,1985,6.300115
